Time [s]  /	Frequency [Hz] 	/	Power [dB]     
0.3618    /	1042.97        	/	-1.80          
0.3618    /	1062.50        	/	11.99          
0.3618    /	1082.03        	/	16.35          
0.3618    /	1101.56        	/	11.42          
0.3618    /	1121.09        	/	-3.91          
0.3618    /	1140.62        	/	2.14           
0.3618    /	1160.16        	/	-2.83          
0.3618    /	1179.69        	/	0.20           
0.3618    /	1199.22        	/	5.70           
0.3618    /	1218.75        	/	-0.23          
0.3618    /	1238.28        	/	-2.32          
0.3618    /	1257.81        	/	6.90           
0.3618    /	1277.34        	/	6.18           
0.3618    /	1296.88        	/	5.87           
0.3618    /	1316.41        	/	8.31           
0.3618    /	1335.94        	/	7.64           
0.3618    /	1355.47        	/	-0.71          
0.3618    /	1375.00        	/	5.98           
0.3618    /	1394.53        	/	9.92           
0.3618    /	1414.06        	/	-0.55          
0.3618    /	1433.59        	/	-4.55          
0.3618    /	1453.12        	/	10.96          
0.3618    /	1472.66        	/	3.94           
0.3618    /	1492.19        	/	8.02           
0.3618    /	1511.72        	/	2.54           
0.3618    /	1531.25        	/	3.72           
0.3618    /	1550.78        	/	0.55           
0.3618    /	1570.31        	/	6.63           
0.3618    /	1589.84        	/	-6.19          
0.3618    /	1609.38        	/	1.66           
0.3618    /	1628.91        	/	-11.10         
0.3618    /	1648.44        	/	9.28           
0.3618    /	1667.97        	/	1.87           
0.3618    /	1687.50        	/	5.52           
0.3618    /	1707.03        	/	13.50          
0.3618    /	1726.56        	/	9.21           
0.3618    /	1746.09        	/	-4.52          
0.3618    /	1765.62        	/	-6.41          
0.3618    /	1785.16        	/	-9.30          
0.3618    /	1804.69        	/	1.36           
0.3618    /	1824.22        	/	-0.38          
0.3618    /	1843.75        	/	-6.31          
0.3618    /	1863.28        	/	-3.46          
0.3618    /	1882.81        	/	9.86           
0.3618    /	1902.34        	/	7.04           
0.3618    /	1921.88        	/	15.87          
0.3618    /	1941.41        	/	13.20          
0.3618    /	1960.94        	/	-8.03          
0.3618    /	1980.47        	/	6.88           
0.3618    /	2000.00        	/	17.86          
0.3618    /	2019.53        	/	21.60          
0.3618    /	2039.06        	/	18.80          
0.3618    /	2058.59        	/	15.77          
0.3618    /	2078.12        	/	2.91           
0.3618    /	2097.66        	/	-5.01          
0.3618    /	2117.19        	/	-3.59          
0.3618    /	2136.72        	/	-3.33          
0.3618    /	2156.25        	/	-21.87         
0.3618    /	2175.78        	/	-1.05          
0.3618    /	2195.31        	/	-11.52         
0.3618    /	2214.84        	/	-20.66         
0.3618    /	2234.38        	/	2.24           
0.3618    /	2253.91        	/	7.84           
0.3618    /	2273.44        	/	3.41           
0.3618    /	2292.97        	/	5.64           
0.3618    /	2312.50        	/	0.07           
0.3618    /	2332.03        	/	1.58           
0.3618    /	2351.56        	/	9.97           
0.3618    /	2371.09        	/	-11.17         
0.3618    /	2390.62        	/	-27.37         
0.3618    /	2410.16        	/	-26.12         
0.3618    /	2429.69        	/	-9.33          
0.3618    /	2449.22        	/	-15.05         
0.3618    /	2468.75        	/	-27.03         
0.3618    /	2488.28        	/	-5.73          
0.3618    /	2507.81        	/	1.66           
0.3618    /	2527.34        	/	-1.94          
0.3618    /	2546.88        	/	-1.32          
0.3618    /	2566.41        	/	5.69           
0.3618    /	2585.94        	/	-4.70          
0.3618    /	2605.47        	/	-4.82          
0.3618    /	2625.00        	/	-12.63         
0.3618    /	2644.53        	/	1.77           
0.3618    /	2664.06        	/	-4.48          
0.3618    /	2683.59        	/	-6.08          
0.3618    /	2703.12        	/	-5.70          
0.3618    /	2722.66        	/	-1.23          
0.3618    /	2742.19        	/	8.39           
0.3618    /	2761.72        	/	7.08           
0.3618    /	2781.25        	/	2.73           
0.3618    /	2800.78        	/	10.57          
0.3618    /	2820.31        	/	-16.55         
0.3618    /	2839.84        	/	-22.06         
0.3618    /	2859.38        	/	-3.18          
0.3618    /	2878.91        	/	2.76           
0.3618    /	2898.44        	/	3.43           
0.3618    /	2917.97        	/	2.30           
0.3618    /	2937.50        	/	-11.59         
0.3618    /	2957.03        	/	-32.71         
0.3618    /	2976.56        	/	-16.39         
0.3618    /	2996.09        	/	-17.16         
0.3618    /	3015.62        	/	-10.61         
0.3618    /	3035.16        	/	-2.79          
0.3618    /	3054.69        	/	-10.12         
0.3618    /	3074.22        	/	2.28           
0.3618    /	3093.75        	/	-10.43         
0.3618    /	3113.28        	/	-3.19          
0.3618    /	3132.81        	/	-6.55          
0.3618    /	3152.34        	/	-14.20         
0.3618    /	3171.88        	/	-4.07          
0.3618    /	3191.41        	/	-11.55         
0.3618    /	3210.94        	/	-13.32         
0.3618    /	3230.47        	/	-15.96         
0.3618    /	3250.00        	/	-36.15         
0.3618    /	3269.53        	/	-27.70         
0.3618    /	3289.06        	/	-21.87         
0.3618    /	3308.59        	/	-11.50         
0.3618    /	3328.12        	/	-17.00         
0.3618    /	3347.66        	/	-22.77         
0.3618    /	3367.19        	/	-6.70          
0.3618    /	3386.72        	/	-30.56         
0.3618    /	3406.25        	/	-14.14         
0.3618    /	3425.78        	/	-19.77         
0.3618    /	3445.31        	/	-12.21         
0.3618    /	3464.84        	/	-22.12         
0.3618    /	3484.38        	/	-16.26         
0.3618    /	3503.91        	/	-3.01          
0.3618    /	3523.44        	/	-7.44          
0.3618    /	3542.97        	/	-13.73         
0.3618    /	3562.50        	/	-12.93         
0.3618    /	3582.03        	/	-16.41         
0.3618    /	3601.56        	/	-9.87          
0.3618    /	3621.09        	/	-11.96         
0.3618    /	3640.62        	/	-5.46          
0.3618    /	3660.16        	/	-18.11         
0.3618    /	3679.69        	/	-8.26          
0.3618    /	3699.22        	/	-4.65          
0.3618    /	3718.75        	/	-1.83          
0.3618    /	3738.28        	/	-4.33          
0.3618    /	3757.81        	/	-11.48         
0.3618    /	3777.34        	/	-22.51         
0.3618    /	3796.88        	/	-28.36         
0.3618    /	3816.41        	/	-29.72         
0.3618    /	3835.94        	/	-42.15         
0.3618    /	3855.47        	/	-25.08         
0.3618    /	3875.00        	/	-11.30         
0.3618    /	3894.53        	/	-7.95          
0.3618    /	3914.06        	/	-4.59          
0.3618    /	3933.59        	/	-4.94          
0.3618    /	3953.12        	/	-15.85         
0.3618    /	3972.66        	/	-12.92         
0.3688    /	7.81           	/	-15.53         
0.3688    /	27.34          	/	-5.90          
